accession	species	ST	Bla_acquired	Bla_ESBL_acquired	Bla_Carb_acquired	AGly_acquired	Flq_acquired	Tet_acquired	Sul_acquired	virulence_score	resistance_score
SRR10541774	Klebsiella pneumoniae	ST348	OXA-1;TEM-1D.v1^	CTX-M-15	KPC-2	aac(6')-Ib-cr.v2;strA.v1^;strB.v1	qnrB1.v2^	tet(A).v1	sul2	1	3
SRR10541782	Klebsiella pneumoniae	ST709	OXA-1;TEM-1D.v1^	CTX-M-15	-	aac(6')-Ib-cr.v2;aadA2^;aph3-Ia.v1^;strA.v1^;strB.v1	-	tet(A).v1	sul1;sul2	0	1
SRR10541789	Klebsiella pneumoniae	ST42	-	-	-	-	-	-	-	0	0
SRR10541795	Klebsiella pneumoniae	ST348	OXA-1	CTX-M-15;TEM-26^	NDM-1	aac(3)-IIa.v1*;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	qnrB1.v2^;qnrE2	tet(A).v1	sul1;sul2	1	2
SRR10541816	Klebsiella pneumoniae	ST23	-	-	-	-	-	-	-	5	0
SRR10541828	Klebsiella pneumoniae	ST348	OXA-1	CTX-M-15;TEM-26^	NDM-1	aac(3)-IIa.v1*;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	qnrB1.v2^;qnrE2	tet(A).v1	sul1;sul2	1	2
SRR10694487	Klebsiella pneumoniae	ST219	-	-	-	strA.v1;strB.v1	-	tet(B).v2*	-	0	0
SRR10694522	Klebsiella pneumoniae	ST107	-	-	-	strA.v1;strB.v1	-	-	-	0	0
SRR10694545	Klebsiella pneumoniae	ST3645-1LV	-	-	-	-	-	-	-	0	0
SRR10694548	Klebsiella pneumoniae	ST846	-	-	-	-	-	-	-	0	0
SRR10694554	Klebsiella quasipneumoniae subsp. quasipneumoniae	ST1955-4LV	-	-	-	-	-	-	-	0	0
SRR10694565	Klebsiella pneumoniae	ST111	-	-	-	-	-	-	-	1	0
SRR10694569	Klebsiella pneumoniae	ST190-1LV	-	-	-	strA.v1;strB.v1	-	-	-	0	0
SRR10694584	Klebsiella pneumoniae	ST111	-	-	-	-	-	-	-	0	0
SRR10694585	Klebsiella quasipneumoniae subsp. quasipneumoniae	ST2660	-	-	-	-	-	-	-	0	0
SRR10694592	Klebsiella quasipneumoniae subsp. quasipneumoniae	ST2660	-	-	-	-	-	-	-	0	0
SRR10694597	Klebsiella pneumoniae	ST107	-	-	-	-	-	-	-	0	0
SRR10694601	Klebsiella pneumoniae	ST485	-	-	-	-	-	-	-	0	0
SRR10694609	Klebsiella pneumoniae	ST107	-	-	-	-	-	-	-	0	0
SRR10694619	Klebsiella pneumoniae	ST44	-	-	-	-	-	-	-	0	0
SRR10694626	Klebsiella pneumoniae	ST107	-	-	-	-	-	-	-	0	0
SRR10694635	Klebsiella pneumoniae	ST107	-	-	-	strA.v1;strB.v1	-	tet(B).v2*	-	0	0
SRR10694656	Klebsiella pneumoniae	ST485	-	-	-	-	-	-	-	0	0
SRR10905619	Klebsiella pneumoniae	ST412	-	-	-	-	-	-	-	0	0
SRR10905808	Klebsiella pneumoniae	ST628	OXA-1;TEM-1D.v1^	CTX-M-15	-	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	qnrB1.v2^	-	sul2	0	1
SRR10905976	Klebsiella pneumoniae	ST628	-	-	-	-	-	-	-	0	0
SRR10991643	Klebsiella pneumoniae	ST588	TEM-1D.v1^	-	KPC-2	-	-	-	-	0	2
SRR10991660	Klebsiella pneumoniae	ST478	OXA-1	-	KPC-2	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aadA5	qnrB1.v2^	tet(A).v1	sul1	0	2
SRR10991667	Klebsiella pneumoniae	ST321	OXA-1;TEM-1D.v1^	-	KPC-2	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aadA5	qnrB1.v2^	tet(A).v1	sul1	0	2
SRR10991669	Klebsiella pneumoniae	ST2938	-	-	KPC-2	-	-	-	-	0	2
SRR10991671	Klebsiella pneumoniae	ST54	TEM-1D.v1^	-	KPC-2	strA.v1;strB.v1	-	-	-	0	2
SRR10991673	Klebsiella pneumoniae	ST25	OXA-1	CTX-M-15	KPC-2	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	qnrB1.v2^	tet(A).v1	sul2	1	2
SRR10991674	Klebsiella pneumoniae	ST321	TEM-1D.v1^	-	KPC-2	-	-	-	-	0	2
SRR10991675	Klebsiella pneumoniae	ST54	TEM-1D.v1^	-	KPC-2	-	-	-	-	0	2
SRR10991683	Klebsiella pneumoniae	ST661	OXA-1;TEM-1D.v1^	-	KPC-2	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aadA5	qnrB1.v2^	tet(A).v1	sul1	0	2
SRR10991697	Klebsiella variicola subsp. variicola	ST468	TEM-1D.v1^	-	KPC-2	-	-	-	-	0	2
SRR10991720	Klebsiella pneumoniae	ST54	TEM-1D.v1^	CTX-M-9	KPC-2	aadA2;ant(2'')-Ia;strA.v1;strB.v1	qnrA1^	-	sul1	0	3
SRR10991763	Klebsiella pneumoniae	ST491	TEM-1D.v1^	-	KPC-2	-	-	-	-	0	2
SRR10991765	Klebsiella pneumoniae	ST200	TEM-1D.v1^	-	KPC-2	-	-	-	-	0	2
SRR10991777	Klebsiella pneumoniae	ST252	-	-	KPC-2	aadA5	qnrB1.v2^	tet(A).v1	sul1	0	2
SRR10991780	Klebsiella pneumoniae	ST107	OXA-1;TEM-1D.v1^	-	KPC-2	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1*;strB.v1*	-	tet(A).v1	sul2	0	2
SRR10991781	Klebsiella pneumoniae	ST48	TEM-1D.v1^	-	KPC-2	aadA2^;aph3-Ia.v1^;strA.v1^;strB.v1	-	tet(D)	sul1;sul2^	1	2
SRR10991782	Klebsiella pneumoniae	ST12	TEM-1D.v1^	-	KPC-2	aadA5	qnrB1.v2^	tet(A).v1	sul1	0	2
SRR10991786	Klebsiella pneumoniae	ST883	OXA-1;TEM-1D.v1^	-	KPC-2	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2	-	-	-	0	2
SRR10991792	Klebsiella pneumoniae	ST588	TEM-1D.v1^	-	KPC-2	-	-	-	-	0	2
SRR10991815	Klebsiella pneumoniae	ST34	TEM-1D.v1^	-	KPC-2	-	-	-	-	0	2
SRR10991836	Klebsiella pneumoniae	ST588	TEM-1D.v1^	-	KPC-2	-	-	-	-	0	2
SRR10991843	Klebsiella pneumoniae	ST478	OXA-1	-	KPC-2	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aadA5	qnrB1.v2^	tet(A).v1	sul1	0	2
SRR10991844	Klebsiella pneumoniae	ST252	OXA-1	-	KPC-2	aac(6')-Ib-cr.v2;aadA5	qnrB1.v2^	tet(A).v1	sul1	0	2
SRR10991848	Klebsiella pneumoniae	ST1162	-	-	KPC-2	-	-	-	-	0	2
SRR10991854	Klebsiella pneumoniae	ST107	OXA-1;TEM-1D.v1^	-	KPC-2	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1*;strB.v1*	-	tet(A).v1	sul2	0	2
SRR10991864	Klebsiella pneumoniae	ST491	-	-	KPC-2	-	-	-	-	0	2
SRR10991871	Klebsiella pneumoniae	ST492	-	-	KPC-2	aac(6')-IIc;strA.v1;strB.v1	qnrA1^	-	sul1	0	3
SRR10991874	Klebsiella pneumoniae	ST240-2LV	TEM-1D.v1^	-	KPC-2	-	-	-	-	0	2
SRR10991887	Klebsiella pneumoniae	ST1162	TEM-1D.v1^	-	KPC-2	-	-	-	-	0	2
SRR10991890	Klebsiella pneumoniae	ST34	TEM-1D.v1^	-	KPC-2	-	-	-	-	0	2
SRR10991892	Klebsiella pneumoniae	ST54	TEM-1D.v1^	-	KPC-2	strA.v1;strB.v1	-	-	-	0	2
SRR10991894	Klebsiella pneumoniae	ST240-1LV	-	-	KPC-2	-	-	-	-	0	2
SRR10991918	Klebsiella pneumoniae	ST1162	-	-	KPC-2	-	-	-	-	0	2
SRR10991941	Klebsiella variicola subsp. variicola	ST468	TEM-1D.v1^	-	KPC-2	-	-	-	-	0	2
SRR10991942	Klebsiella pneumoniae	ST588	TEM-1D.v1^	-	KPC-2	-	-	-	-	0	2
SRR10991961	Klebsiella pneumoniae	ST317	-	-	KPC-2	aac(3)-IId^	-	-	-	0	2
SRR10991967	Klebsiella pneumoniae	ST252	OXA-1	-	KPC-2	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2	qnrB1.v2^	tet(A).v1	sul1	0	2
SRR10991970	Klebsiella pneumoniae	ST1183-1LV	TEM-1D.v1^	-	KPC-2	aac(3)-IIa.v1^	-	-	-	0	2
SRR10991971	Klebsiella pneumoniae	ST107	OXA-1;TEM-1D.v1^	-	KPC-2	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1*;strB.v1*	-	tet(A).v1	sul2	0	2
SRR10991978	Klebsiella pneumoniae	ST252	OXA-1	-	KPC-2	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aadA5	qnrB1.v2^	tet(A).v1	sul1	0	2
SRR10991981	Klebsiella pneumoniae	ST1162	-	-	KPC-2	-	-	-	-	0	2
SRR10991985	Klebsiella pneumoniae	ST1162	-	-	KPC-2	-	-	-	-	0	2
SRR10991999	Klebsiella pneumoniae	ST25	OXA-1	-	KPC-2	aac(6')-Ib-cr.v2	qnrB1.v2^	tet(A).v1	-	1	2
SRR10992002	Klebsiella variicola subsp. variicola	ST837-1LV	TEM-1D.v1^	-	KPC-2	-	-	-	-	0	2
SRR10992004	Klebsiella variicola subsp. variicola	ST1163	TEM-1D.v1^	-	KPC-2	-	-	-	-	0	2
SRR10992013	Klebsiella pneumoniae	ST1162	OXA-1;TEM-1D.v1^	CTX-M-15	KPC-2	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aadA5;strA.v1^;strB.v1	qnrB1.v2^	tet(A).v1	sul1;sul2	0	2
SRR10992017	Klebsiella pneumoniae	ST37	TEM-1D.v1^	-	KPC-2	-	-	-	-	0	2
SRR10992019	Klebsiella pneumoniae	ST491	TEM-1D.v1^	-	KPC-2	-	-	-	-	0	2
SRR10992026	Klebsiella variicola subsp. variicola	ST468	TEM-1D.v1^	-	KPC-2	-	-	-	-	0	2
SRR10992027	Klebsiella pneumoniae	ST1162	-	-	KPC-2	-	-	-	-	0	2
SRR10992040	Klebsiella pneumoniae	ST588	TEM-1D.v1^	-	KPC-2	-	-	-	-	0	2
SRR10992043	Klebsiella pneumoniae	ST661	OXA-1;TEM-1D.v1^	-	KPC-2	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aadA5	qnrB1.v2^	tet(A).v1	sul1	0	2
SRR10992049	Klebsiella pneumoniae	0	TEM-1D.v1^	-	KPC-2	aadA2;strA.v1;strB.v1	-	-	sul1	0	3
SRR10992065	Klebsiella pneumoniae	ST54	TEM-1D.v1^	-	KPC-2	strA.v1;strB.v1	-	-	-	0	2
SRR10992068	Klebsiella pneumoniae	ST1838	TEM-1D.v1^	-	KPC-2	aac(2')-IIa*;strA.v1;strB.v1	qnrB2.v1^	-	-	0	2
SRR10992085	Klebsiella pneumoniae	ST1162	-	-	KPC-2	-	-	-	-	0	2
SRR10992115	Klebsiella pneumoniae	ST588	TEM-1D.v1^	-	KPC-2	-	-	-	-	0	2
SRR10992116	Klebsiella pneumoniae	ST491	OXA-1	CTX-M-15	KPC-2	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aadA5;strA.v1^;strB.v1	qnrB1.v2^	tet(A).v1	sul1;sul2	0	2
SRR10992119	Klebsiella pneumoniae	ST491	TEM-1D.v1^	-	KPC-2	-	-	-	-	0	2
SRR10992126	Klebsiella pneumoniae	ST198	TEM-1D.v1^	-	KPC-2	-	-	-	-	0	2
SRR10992142	Klebsiella pneumoniae	ST2938	OXA-1	-	KPC-2	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aadA5	qnrB1.v2^	tet(A).v1	sul1	0	2
SRR10992161	Klebsiella pneumoniae	ST37	OXA-1;TEM-1D.v1^	-	KPC-2	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aadA5	qnrB1.v2^	tet(A).v1	sul1	0	2
SRR10992167	Klebsiella pneumoniae	ST534	TEM-1D.v1^	-	KPC-2	-	-	-	-	0	2
SRR10992168	Klebsiella pneumoniae	ST1162	-	-	KPC-2	-	-	-	-	0	2
SRR10992185	Klebsiella pneumoniae	ST34	TEM-1D.v1^	-	KPC-2	-	-	-	-	0	2
SRR10992190	Klebsiella pneumoniae	ST491	-	-	KPC-2	-	-	-	-	0	2
SRR11046436	Klebsiella pneumoniae	ST462	LAP-2	CTX-M-14	-	aac(3)-IId^	qnrS1	tet(A).v1	sul1	0	1
SRR11046448	Klebsiella pneumoniae	ST872	-	-	-	-	-	-	-	0	0
SRR11046528	Klebsiella pneumoniae	ST12	OXA-1;TEM-1D.v1^	CTX-M-15	-	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	tet(A).v1	sul2	0	1
SRR11046567	Klebsiella pneumoniae	ST34	-	-	-	-	-	-	-	0	0
SRR11046602	Klebsiella pneumoniae	ST253	-	-	-	-	-	-	-	0	0
SRR11046659	Klebsiella pneumoniae	ST1714	-	-	-	-	-	-	-	0	0
SRR11046722	Klebsiella pneumoniae	ST941	-	-	-	-	-	-	-	0	0
SRR11094193	Klebsiella pneumoniae	ST395-1LV	OXA-1;TEM-1D.v1^	CTX-M-15	OXA-232	aac(3)-IId^;aac(6')-Ib-cr.v2;armA	qnrB1.v1;qnrS1	tet(A).v1	sul1	1	2
SRR11094200	Klebsiella pneumoniae	ST969	OXA-1;TEM-1D.v1^	CTX-M-15	-	aac(6')-Ib-cr.v2;strA.v1^;strB.v1	qnrB1.v2^	tet(A).v1	sul2	0	1
SRR11267920	Klebsiella pneumoniae	ST48	-	CTX-M-15	-	strA.v1^;strB.v1	-	tet(A).v1	sul2^	1	1
SRR11267921	Klebsiella pneumoniae	ST268	-	CTX-M-15	-	aadA2^;strA.v1*;strB.v1*	qnrS1	-	sul2	1	1
SRR11267940	Klebsiella pneumoniae	ST496-1LV	OXA-1;TEM-1D.v1^	CTX-M-15	-	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	qnrB1.v2^	tet(A).v1^	sul2	1	1
SRR11267941	Klebsiella pneumoniae	ST309	-	CTX-M-15	-	strA.v1^;strB.v1	-	-	sul2	0	1
SRR11281510	Klebsiella pneumoniae	ST490	OXA-1;TEM-1D.v1^	CTX-M-15	-	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	qnrB1.v2^	tet(A).v1	sul2	0	1
SRR11362718	Klebsiella pneumoniae	ST107	LAP-2;TEM-1D.v1^	-	OXA-48	aac(3)-IId^;strA.v1*;strB.v1*	qnrS1	tet(A).v1	sul2	0	2
SRR11402685	Klebsiella pneumoniae	ST37-1LV	-	-	KPC-2	-	-	-	-	0	2
SRR11455642	Klebsiella variicola subsp. variicola	ST355-1LV	AmpC1*	-	-	-	-	-	-	0	0
SRR11476415	Klebsiella variicola subsp. variicola	ST1783-1LV	-	-	-	-	-	-	-	0	0
SRR11585075	Klebsiella variicola subsp. variicola	ST388	-	-	OXA-48	-	-	-	-	0	2
SRR11585078	Klebsiella variicola subsp. variicola	ST971	-	-	OXA-48	-	-	-	-	0	2
SRR11585079	Klebsiella variicola subsp. variicola	ST971	-	-	OXA-48	-	-	-	-	0	2
SRR11585114	Klebsiella pneumoniae	ST405	-	CTX-M-15	OXA-48	-	qnrB1.v2^	-	-	1	2
SRR11585161	Klebsiella pneumoniae	ST11	OXA-1	CTX-M-15	OXA-48	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aadA2^	qnrB1.v1	-	sul1	1	2
SRR11585192	Klebsiella pneumoniae	ST322	-	-	VIM-1	aac(6')-Ib4^;aadA1.v1^	-	-	sul1	0	2
SRR11622455	Klebsiella pneumoniae	ST104-2LV	TEM-1D.v1^	-	KPC-2	-	-	-	-	0	2
SRR11622466	Klebsiella pneumoniae	ST70-1LV	OXA-1	CTX-M-15	KPC-2	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	qnrB1.v2^	tet(A).v1	sul2	0	2
SRR11622468	Klebsiella pneumoniae	ST133	LAP-2;TEM-1D.v1^	CTX-M-14	NDM-1	aac(3)-IId^;armA	qnrS1	tet(A).v1;tet(D)	sul1	2	2
SRR11622475	Klebsiella pneumoniae	ST626	-	-	KPC-2	aac(3)-IId^;aadA2^	-	tet(A).v1	sul1;sul2	0	3
SRR11622504	Klebsiella pneumoniae	ST273	OXA-1	-	OXA-48	aac(6')-Ib-cr.v2	-	-	-	1	2
SRR11622506	Klebsiella pneumoniae	ST273	LAP-2;TEM-1D.v1^	CTX-M-3	-	aac(6')-Ib-cr.v2;aadA16*;aadA2^;strA.v1^;strB.v1	qnrS1	tet(A).v1?	sul1^;sul2	0	1
SRR11622524	Klebsiella pneumoniae	ST4	-	CTX-M-15	-	aac(6')-Ib-cr.v2;aadA16*;strA.v1^;strB.v1	qnrB6^	tet(A).v1	sul1;sul1;sul2	0	1
SRR11622526	Klebsiella pneumoniae	ST378-1LV	DHA-1;OXA-1	-	-	aac(6')-Ib-cr.v2^;aadA2^;aph3-Ia.v1^	qnrB4	tet(A).v1	sul1;sul2	0	0
SRR11622551	Klebsiella pneumoniae	ST24-2LV	TEM-1D.v1^	-	KPC-2	-	-	-	-	0	2
SRR11622553	Klebsiella pneumoniae	ST70-2LV	TEM-1D.v1^	-	KPC-2	-	-	-	-	0	2
SRR11622596	Klebsiella pneumoniae	ST14	OXA-1;OXA-9.v1;TEM-1D.v1^	CTX-M-15	NDM-1	aac(3)-IId^;aac(6')-Ib-cr.v2;aadA*;aadA2^;aph(3')-VI;armA;strA.v1*;strB.v1*	qnrB1.v2^	-	sul1;sul2	1	2
SRR11622599	Klebsiella pneumoniae	ST16	TEM-1D.v1^	CTX-M-15	OXA-48	aadA2^;aph3-Ia.v1^	-	-	sul1	1	2
SRR11622603	Klebsiella pneumoniae	ST534	OXA-1	CTX-M-15	KPC-2	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	qnrB1.v2^	tet(A).v1	sul2	0	2
SRR11700214	Klebsiella pneumoniae	ST17	TEM-1D.v1^	CTX-M-15	-	strA.v1^;strB.v1	qnrS1	tet(A).v1	sul2	1	1
SRR11725275	Klebsiella pneumoniae	ST258-2LV	-	CTX-M-15	KPC-2	-	-	-	-	2	2
SRR11725279	Klebsiella pneumoniae	ST462	-	-	KPC-3	-	-	-	-	0	2
SRR11746260	Klebsiella pneumoniae	ST515	OXA-1;TEM-1D.v1^	CTX-M-15	-	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aph(3')-Ia	qnrS1	-	sul2	1	1
SRR11780123	Klebsiella pneumoniae	ST834	TEM-1D.v1^	-	KPC-2	aac(6')-IIc	qnrS1	-	sul1;sul2	0	3
SRR11816110	Klebsiella pneumoniae	ST2856	-	-	-	-	-	-	-	0	0
SRR11816111	Klebsiella variicola subsp. variicola	ST347	-	-	-	-	-	-	-	0	0
SRR11816123	Klebsiella pneumoniae	ST45-1LV	-	-	-	-	-	-	-	1	0
SRR11816127	Klebsiella variicola subsp. variicola	ST347	-	-	-	-	-	-	-	0	0
SRR11816128	Klebsiella variicola subsp. variicola	ST347	-	-	-	-	-	-	-	0	0
SRR11816138	Klebsiella pneumoniae	ST462	LAP-2	-	-	-	qnrS1	tet(A).v1	sul1	0	0
SRR11816149	Klebsiella pneumoniae	ST870	-	-	-	-	-	-	-	0	0
SRR11816152	Klebsiella variicola subsp. variicola	ST197	-	-	-	-	-	-	-	0	0
SRR11816162	Klebsiella pneumoniae	ST187	-	-	-	-	-	-	-	1	0
SRR11816168	Klebsiella variicola subsp. variicola	ST250	-	-	-	-	-	-	-	0	0
SRR11816184	Klebsiella quasipneumoniae subsp. similipneumoniae	ST1887-1LV	-	-	-	-	-	-	-	0	0
SRR11819282	Klebsiella pneumoniae	ST299	OXA-9.v1;TEM-1D.v1^	-	KPC-3	aac(6')-Ib'.v1*;aadA*;strA.v1^;strB.v1	-	-	sul2	2	2
SRR11819293	Klebsiella pneumoniae	ST3727	TEM-1D.v1^	CTX-M-15	KPC-3	aac(3)-IIa.v1^;strA.v1^;strB.v1	-	-	sul2	0	2
SRR11819295	Klebsiella pneumoniae	ST464	OXA-1;TEM-1D.v1^	CTX-M-15	-	aac(3)-IIa.v1;aac(6')-Ib-cr.v2;aadA^;strB.v1	qnrB2.v1^	tet(A).v1	sul1^;sul1^;sul2	0	1
SRR11819316	Klebsiella pneumoniae	ST48	TEM-1D.v1^	-	KPC-3	-	qnrS1	tet(D)	-	2	2
SRR11819326	Klebsiella pneumoniae	ST551	OXA-1;TEM-1D.v1^	CTX-M-15	-	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	qnrB1.v2^	-	sul2	0	1
SRR11819334	Klebsiella pneumoniae	ST48	TEM-1D.v1^	-	KPC-3	-	qnrS1	tet(D)	-	2	2
SRR11819337	Klebsiella pneumoniae	ST3626	TEM-1D.v1^	-	KPC-3	-	qnrS1	-	-	0	2
SRR11819393	Klebsiella pneumoniae	ST15	TEM-1D.v1^	CTX-M-15	-	strA.v1^;strB.v1	-	tet(A).v1	sul2	1	1
SRR11819394	Klebsiella pneumoniae	ST133	OXA-9.v1;TEM-1D.v1^	-	KPC-3	aac(6')-Ib'.v1*;aadA*;strA.v1^;strB.v1	-	-	sul2	2	2
SRR11819416	Klebsiella pneumoniae	ST2543	OXA-1;TEM-1D.v1^	-	KPC-3	aac(3)-IId^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	qnrB1.v2^	tet(B).v2*	sul2	0	2
SRR11819425	Klebsiella pneumoniae	ST273-1LV	OXA-9.v1;TEM-1D.v1^	-	KPC-3	aadA*	qnrS1	-	-	1	2
SRR11841810	Klebsiella pneumoniae	ST3392	TEM-1D.v1^	CTX-M-15	NDM-1	aac(6')-Ib;aac(6')-Ib'.v1;aadA*;aph3-Ia.v1^;armA;rmtF;sat-2	qnrS1	tet(A).v1	sul1	3	2
SRR11841826	Klebsiella pneumoniae	ST1640	-	CTX-M-15	NDM-1	aadA2;rmtC	qnrB1.v2^	-	sul1	1	2
SRR11841837	Klebsiella pneumoniae	ST915	-	-	KPC-2	strA.v1;strB.v1	-	-	-	0	2
SRR11841839	Klebsiella pneumoniae	ST560	OXA-1	CTX-M-15	KPC-2	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	qnrB1.v2^	tet(A).v1	sul2	1	2
SRR11841853	Klebsiella pneumoniae	ST35	-	-	OXA-48	-	-	-	-	0	2
SRR11841860	Klebsiella pneumoniae	ST560	OXA-1	CTX-M-15	KPC-2	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2	qnrB1.v2^	tet(A).v1	-	1	2
SRR11841862	Klebsiella pneumoniae	ST560	OXA-1	CTX-M-15	KPC-2	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	qnrB1.v2^	tet(A).v1	sul2	1	2
SRR11841866	Klebsiella pneumoniae	ST405	OXA-1;TEM-1D.v1^	CTX-M-15	OXA-48	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	qnrB1.v2^	tet(A).v1	sul2	1	2
SRR11841870	Klebsiella pneumoniae	ST2500	-	-	OXA-48	-	-	-	-	0	2
SRR11841894	Klebsiella pneumoniae	ST2493	CMY-13	-	VIM-1	aac(6')-Il;aadA1.v1^;aadA2;ant(2'')-Ia	qnrA1^	-	sul1;sul1	0	2
SRR11841896	Klebsiella quasipneumoniae subsp. similipneumoniae	ST638-1LV	OXA-1;TEM-1D.v1^	CTX-M-15	NDM-7	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	qnrB1.v2^	tet(A).v1	sul2	0	2
SRR11907332	Klebsiella pneumoniae	ST101	TEM-1D.v1^	CTX-M-15	-	strA.v1^;strB.v1	qnrS1	tet(A).v1	sul2	0	1
SRR11948674	Klebsiella pneumoniae	ST3705	-	-	-	-	-	-	-	0	0
SRR11992851	Klebsiella pneumoniae	ST70-1LV	TEM-1D.v1^	-	KPC-2	-	-	-	-	0	2
SRR11992862	Klebsiella pneumoniae	ST65	TEM-1D.v1^	-	KPC-2	-	-	-	-	5	2
SRR11992896	Klebsiella pneumoniae	ST134	TEM-1D.v1^	-	KPC-2	-	-	-	-	0	2
SRR11992897	Klebsiella pneumoniae	ST327	OXA-1;TEM-1D.v1^	-	KPC-2	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2	qnrB1.v2^	tet(A).v1;tet(D)	sul2	0	2
SRR11992912	Klebsiella quasipneumoniae subsp. similipneumoniae	ST841	OXA-1;TEM-1D.v1^	-	KPC-2	aac(6')-Ib-cr.v2;aadA*	qnrB1.v2^	tet(A).v1	sul1*	0	2
SRR11992926	Klebsiella quasipneumoniae subsp. similipneumoniae	ST1304	OXA-1	-	KPC-2	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	qnrB1.v2^	tet(A).v1	sul2	0	2
SRR11992952	Klebsiella pneumoniae	ST231	TEM-1D.v1^	CTX-M-15;SHV-12	NDM-1	aac(6')-Ib;rmtF	qnrS1	-	-	1	2
SRR11992973	Klebsiella pneumoniae	ST30	-	-	KPC-2	-	-	-	-	0	2
SRR11992978	Klebsiella pneumoniae	ST502-2LV	-	-	KPC-2	-	-	-	-	0	2
SRR11992997	Klebsiella pneumoniae	ST2816-1LV	-	-	NDM-1	-	-	-	-	0	2
SRR11993012	Klebsiella pneumoniae	ST1	-	-	NDM-1	aac(6')-Ib-cr.v2;aadA16*;strA.v1^;strB.v1	qnrS1	tet(A).v1?	sul1;sul2	0	2
SRR11993023	Klebsiella pneumoniae	ST323	OXA-1;TEM-1D.v1^	CTX-M-15	KPC-2	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	qnrB1.v2^	tet(A).v1	sul2	0	2
SRR11993053	Klebsiella quasipneumoniae subsp. similipneumoniae	ST841	OXA-1;TEM-1D.v1^	-	KPC-2	aac(6')-Ib-cr.v2;aadA*	qnrB1.v2^	tet(A).v1	sul1*	0	2
SRR11993062	Klebsiella pneumoniae	ST502-2LV	-	SHV-12	KPC-2	-	-	-	-	0	2
SRR11993063	Klebsiella pneumoniae	ST502-2LV	-	SHV-12	KPC-2	-	-	-	-	0	2
SRR11993064	Klebsiella pneumoniae	ST2253-1LV	TEM-1D.v1^	-	KPC-2	-	-	-	-	0	2
SRR12056270	Klebsiella pneumoniae	ST34	CARB-2.v1^;FOX-5	-	-	aadA2;ant(2'')-Ia	qnrA1	-	sul1	0	0
SRR12071762	Klebsiella pneumoniae	ST432	-	CTX-M-15	OXA-48	aadA2^;strA.v1*;strB.v1*	qnrS1	tet(A).v1	sul1;sul2	0	2
SRR12071771	Klebsiella quasipneumoniae subsp. quasipneumoniae	ST2604	-	CTX-M-10?	OXA-48	strA.v1^;strB.v1	-	tet(A).v2	sul2	0	2
SRR12071773	Klebsiella pneumoniae	ST377	OXA-1	CTX-M-15	OXA-48	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aadA^;aph3-Ia.v1*?	-	tet(A).v1	sul1^	0	2
SRR12071777	Klebsiella pneumoniae	ST1427	TEM-1D.v1^	CTX-M-15	-	strA.v1^;strB.v1	qnrB1.v2^	-	sul2	0	1
